ano,fecha,entidad,clave_est,municipio,clave_municipal,cvegeo,colonia_o_comunidad,descripcion_geo,fosas,total_cuerpos,masculino,femenino,links
2020,2020-05-15,Guanajuato,11,Tarimoro,039,11039,El Carrizo,Cerca de Huapango,1,4,NA,NA,https://periodicocorreo.com.mx/encuentran-fosa-clandestina-en-tarimoro/
2020,2020-05-05,Guanajuato,11,Uriangato,041,11041,Ejido de Cupuato,El llano,1,2,NA,NA,https://poplab.mx/article/ComisiondeBusquedafederalinvestigafosaenUriangatoconfirmarestoshumanos
2020,2020-04-26,Guanajuato,11,Salamanca,027,11027,Reforma,Rio lerma,1,1,NA,1,https://www.elsoldesalamanca.com.mx/incoming/video-encuentran-cadaver-de-mujer-sobre-rio-lerma-5154136.html
2020,2020-04-25,Guanajuato,11,Silao de la Victoria,037,11037,Trejo de Silao,Trejo de Silao (camino de terracería a Irapuato),1,3,NA,NA,https://elotroenfoque.mx/encuentran-cuerpos-en-fosa-clandestina-de-silao/
2020,2020-03-05,Guanajuato,11,Huanímaro,016,11016,comunidad Rancho de Guadalupe,"NA",1,7,1,NA,https://www.am.com.mx/guanajuato/noticias/Localizan-fosa-clandestina-con-siete-cuerpos-dentro-de-vivienda-20200305-0044.html
2020,2020-02-23,Guanajuato,11,Pénjamo,023,11023,El Naranjito,Parte alta de la sierra,1,1,NA,NA,https://www.brunoticias.com/encuentran-fosa-clandestina-en-penjamo-restos-humanos/
2020,2020-02-19,Guanajuato,11,Moroleón,021,11021,Colonia Hoyo de San Isidro (y colonia Tepeyac),"NA",1,10,NA,NA,https://periodicocorreo.com.mx/continua-busqueda-de-restos-en-la-fosa-de-moroleon/
2020,2020-02-09,Guanajuato,11,Abasolo,001,11001,Comunidad San Fernando,"NA",1,1,1,NA,https://periodicocorreo.com.mx/descubren-fosa-clandestina-en-abasolo/
2020,2020-02-07,Guanajuato,11,Silao de la Victoria,037,11037,Entre las comunidades de San Dueguillo y Union Tres Mezquitas,El Guajolote,1,4,NA,NA,https://zonafranca.mx/seguridad/hallan-una-3er-fosa-clandestina-en-silao/
2020,2020-02-05,Guanajuato,11,Acámbaro,002,11002,Colonia San Isidro,Entre la calle Mérida y Francisco Villa,1,1,NA,NA,https://periodicocorreo.com.mx/localizan-fosa-clandestina-en-acambaro/
